"species","decimalLongitude","decimalLatitude"
"Piaractus.brachypomus",-54.005,-2.114
"Piaractus.brachypomus",-54.005,-2.109
"Piaractus.brachypomus",-53.995,-2.129
"Piaractus.brachypomus",-52.582,-1.523
"Piaractus.brachypomus",-55.095,-2.231
"Piaractus.brachypomus",-54.1,-2.017
"Piaractus.brachypomus",-54.692,-2.442
"Piaractus.brachypomus",-54.736,-1.975
"Piaractus.brachypomus",-55.036,-2.206
"Piaractus.brachypomus",-54.541,-2.427
"Piaractus.brachypomus",-54.545,-2.443
"Piaractus.brachypomus",-54.383,-2.447
"Piaractus.brachypomus",-54.762,-2.212
"Piaractus.brachypomus",-54.708,-2.443
"Piaractus.brachypomus",-54.567,-2.1
"Piaractus.brachypomus",-54.533,-2.317
"Piaractus.brachypomus",-54.517,-2.133
"Piaractus.brachypomus",-54.733,-1.933
"Piaractus.brachypomus",-55.239,-2.198
"Piaractus.brachypomus",-55.16,-2.113
"Piaractus.brachypomus",-55.29,-2.102
"Piaractus.brachypomus",-55.508,-1.875
"Piaractus.brachypomus",-55.833,-1.867
"Piaractus.brachypomus",-55.867,-1.767
"Piaractus.brachypomus",-56.038,-1.968
"Piaractus.brachypomus",-56.031,-1.971
"Piaractus.brachypomus",-56.03,-1.974
"Piaractus.brachypomus",-58.433,-3.15
"Piaractus.brachypomus",-58.433,-3.133
"Piaractus.brachypomus",-58.358,-2.892
"Piaractus.brachypomus",-58.098,-2.901
"Piaractus.brachypomus",-59.715,-3.154
"Piaractus.brachypomus",-59.812,-3.2
"Piaractus.brachypomus",-59.716,-3.154
"Piaractus.brachypomus",-54.551,-2.668
"Piaractus.brachypomus",-64.967,-2.75
"Piaractus.brachypomus",-66.336,-2.039
"Piaractus.brachypomus",-64.667,-3.25
"Piaractus.brachypomus",-64.797,-3.11
"Piaractus.brachypomus",-64.784,-3.11
"Piaractus.brachypomus",-69.776,-1.241
"Piaractus.brachypomus",-72.426,-0.243
"Piaractus.brachypomus",-52.504,-0.704
"Piaractus.brachypomus",-70.582,-4.144
"Piaractus.brachypomus",-65.724,-2.724
"Piaractus.brachypomus",-62.876,-8.028
"Piaractus.brachypomus",-62.334,-6.711
"Piaractus.brachypomus",-63.021,-7.506
"Piaractus.brachypomus",-63.05,-7.37
"Piaractus.brachypomus",-63.027,-7.506
"Piaractus.brachypomus",-63.51,-8.32
"Piaractus.brachypomus",-63.1,-8.33
"Piaractus.brachypomus",-63.52,-8.33
"Piaractus.brachypomus",-63.47,-8.32
"Piaractus.brachypomus",-63.57,-8.39
"Piaractus.brachypomus",-63.49,-8.32
"Piaractus.brachypomus",-63.82,-8.498
"Piaractus.brachypomus",-63.93,-8.789
"Piaractus.brachypomus",-63.624,-8.542
"Piaractus.brachypomus",-63.904,-8.762
"Piaractus.brachypomus",-64.05,-8.77
"Piaractus.brachypomus",-64.4,-9.28
"Piaractus.brachypomus",-64.4,-9.17
"Piaractus.brachypomus",-64.05,-8.83
"Piaractus.brachypomus",-64.06,-8.85
"Piaractus.brachypomus",-64.85,-9.37
"Piaractus.brachypomus",-64.05,-8.78
"Piaractus.brachypomus",-64.729,-9.325
"Piaractus.brachypomus",-64.05,-8.8
"Piaractus.brachypomus",-64.06,-8.86
"Piaractus.brachypomus",-64.03,-8.86
"Piaractus.brachypomus",-63.96,-8.81
"Piaractus.brachypomus",-64.62,-9.19
"Piaractus.brachypomus",-64.922,-9.606
"Piaractus.brachypomus",-65.31,-10.02
"Piaractus.brachypomus",-65.32,-10.01
"Piaractus.brachypomus",-65.372,-10.429
"Piaractus.brachypomus",-65.377,-10.426
"Piaractus.brachypomus",-60.366,-3.828
"Piaractus.brachypomus",-58.962,-3.481
"Piaractus.brachypomus",-60.642,-4.61
"Piaractus.brachypomus",-60.389,-5.149
"Piaractus.brachypomus",-60.716,-7.607
"Piaractus.brachypomus",-61.79,-6.16
"Piaractus.brachypomus",-61.79,-6.17
"Piaractus.brachypomus",-61.84,-9.04
"Piaractus.brachypomus",-62.89,-8.07
"Piaractus.brachypomus",-63.441,-8.757
"Piaractus.brachypomus",-63.61,-8.81
"Piaractus.brachypomus",-65.68,-9.76
"Piaractus.brachypomus",-65.442,-9.678
"Piaractus.brachypomus",-65.445,-9.694
"Piaractus.brachypomus",-69.596,-13.103
"Piaractus.brachypomus",-69.596,-13.105
"Piaractus.brachypomus",-66.613,-11.109
"Piaractus.brachypomus",-65.998,-10.87
"Piaractus.brachypomus",-65.907,-10.756
"Piaractus.brachypomus",-66.599,-11.108
"Piaractus.brachypomus",-69.583,-13.133
"Piaractus.brachypomus",-65.47,-10.425
"Piaractus.brachypomus",-69.21,-12.58
"Piaractus.brachypomus",-69.517,-12.6
"Piaractus.brachypomus",-68.818,-12.446
"Piaractus.brachypomus",-68.817,-12.5
"Piaractus.brachypomus",-66.798,-11.254
"Piaractus.brachypomus",-69.3,-12.833
"Piaractus.brachypomus",-69.3,-12.867
"Piaractus.brachypomus",-69.633,-13.417
"Piaractus.brachypomus",-69.55,-12.933
"Piaractus.brachypomus",-69.283,-12.883
"Piaractus.brachypomus",-69.617,-13.367
"Piaractus.brachypomus",-67.997,-11.869
"Piaractus.brachypomus",-67.526,-13.953
"Piaractus.brachypomus",-67.631,-14.577
"Piaractus.brachypomus",-67.404,-13.471
"Piaractus.brachypomus",-67.5,-13.972
"Piaractus.brachypomus",-67.331,-13.391
"Piaractus.brachypomus",-66.41,-11.395
"Piaractus.brachypomus",-67.356,-13.407
"Piaractus.brachypomus",-66.291,-11.218
"Piaractus.brachypomus",-67.39,-13.492
"Piaractus.brachypomus",-67.412,-13.479
"Piaractus.brachypomus",-67.378,-13.386
"Piaractus.brachypomus",-66.414,-11.426
"Piaractus.brachypomus",-66.408,-11.393
"Piaractus.brachypomus",-67.308,-13.376
"Piaractus.brachypomus",-66.402,-11.409
"Piaractus.brachypomus",-66.307,-11.284
"Piaractus.brachypomus",-67.558,-14.336
"Piaractus.brachypomus",-66.378,-11.417
"Piaractus.brachypomus",-66.376,-11.417
"Piaractus.brachypomus",-67.589,-14.107
"Piaractus.brachypomus",-67.392,-13.462
"Piaractus.brachypomus",-67.352,-13.429
"Piaractus.brachypomus",-67.404,-13.43
"Piaractus.brachypomus",-67.427,-13.655
"Piaractus.brachypomus",-67.409,-13.381
"Piaractus.brachypomus",-67.404,-13.38
"Piaractus.brachypomus",-67.323,-13.345
"Piaractus.brachypomus",-67.533,-14.441
"Piaractus.brachypomus",-67.396,-13.497
"Piaractus.brachypomus",-67.432,-13.374
"Piaractus.brachypomus",-67.393,-13.466
"Piaractus.brachypomus",-65.384,-10.806
"Piaractus.brachypomus",-65.339,-10.783
"Piaractus.brachypomus",-65.27,-10.86
"Piaractus.brachypomus",-65.334,-10.803
"Piaractus.brachypomus",-65.163,-13.181
"Piaractus.brachypomus",-65.4,-13.666
"Piaractus.brachypomus",-65.27,-13.711
"Piaractus.brachypomus",-64.852,-14.5
"Piaractus.brachypomus",-65.01,-14.771
"Piaractus.brachypomus",-65.046,-14.666
"Piaractus.brachypomus",-64.868,-14.461
"Piaractus.brachypomus",-65.021,-14.727
"Piaractus.brachypomus",-64.933,-14.608
"Piaractus.brachypomus",-64.941,-14.679
"Piaractus.brachypomus",-64.85,-14.5
"Piaractus.brachypomus",-64.683,-15.633
"Piaractus.brachypomus",-60.02,-13.1
"Piaractus.brachypomus",-63.55,-12.19
"Piaractus.brachypomus",-62.9,-12.85
"Piaractus.brachypomus",-65.024,-15.282
"Piaractus.brachypomus",-64.758,-15.934
"Piaractus.brachypomus",-74.597,-4.327
"Piaractus.brachypomus",-75.812,-5.418
"Piaractus.brachypomus",-76.652,-1.104
"Piaractus.brachypomus",-74.083,-2.365
"Piaractus.brachypomus",-73.106,-3.485
"Piaractus.brachypomus",-73.11,-3.38
"Piaractus.brachypomus",-75.433,-0.994
"Piaractus.brachypomus",-76.983,-0.472
"Piaractus.brachypomus",-76.987,-0.47
"Piaractus.brachypomus",-60.003,-3.159
"Piaractus.brachypomus",-60.02,-3.219
